Name,Released_year,Rating,Genre,Sub_genre,Free
"South Scrimshaw, Part One",2023,9.9,Casual,Indie,True
Hobs,2019,8.6,Indie,Strategy,True
SolForge,2016,6.5,Casual,RPG,False
Nothing Together,2024,9.4,Action,Adventure,True
Light Bearers,2018,8.9,Action,Casual,True
MicroWorks,2022,8.1,Action,Casual,True
TM - Prologue,2021,9.3,Indie,Simulation,True
The Call of Karen,2020,7.9,Casual,Indie,True
The Average Everyday Adventures of Samantha Browne,2016,8.2,Casual,Indie,True
The Flood,2018,8.4,Adventure,Casual,True
愤怒的孙子们,2024,8.8,Action,Adventure,True
SEXTS,2023,7.9,Casual,Indie,True
Warbands: Bushido,2017,6.9,Indie,Strategy,True
Pleh!,2023,9.5,Adventure,Indie,True
Prismata,2018,8.2,Indie,Simulation,True
Aircraft Carrier Survival: Tutorial,2021,7.0,Action,Simulation,True
Car Detailing Simulator: Prologue,2021,7.9,Indie,Simulation,True
URBO: Dream One,2023,9.7,Indie,Strategy,True
Haunted Gas Station,2019,7.7,Casual,Indie,True
Tilt Brush,2016,9.4,N/A,N/A,True
100 March Cats,2024,9.8,Adventure,Casual,True
Second Galaxy,2019,5.2,Massively Multiplayer,RPG,True
Champions of Regnum,2013,6.8,Indie,Massively Multiplayer,True
Wwbit,2018,5.5,Casual,Indie,False
Battle Carnival,2018,6.9,N/A,N/A,False
Paintball War,2018,4.2,Action,Massively Multiplayer,True
High Entropy: Challenges,2020,9.5,Action,Adventure,True
Trimps,2022,9.2,Casual,Indie,True
Idle Monster TD: Evolved,2022,7.8,Casual,Indie,True
Tactical Craft Online,2016,4.8,Indie,Massively Multiplayer,True
SimRail - The Railway Simulator: Prologue,2021,8.1,Simulation,N/A,True
Jaded,2022,9.6,Action,Indie,True
Hell Wedding 夜嫁,2020,8.7,Indie,N/A,True
Puppet Master: The Game,2024,8.6,Action,Indie,True
Six Braves,2022,7.9,Adventure,Casual,True
Toy Shire: Room One,2024,9.5,Action,Strategy,True
Monster Hunter Rise: Sunbreak Demo,2022,8.1,Action,N/A,True
Dark Roll: Free Kick Challenge,2021,8.1,Casual,Indie,True
Big Bang Empire,2016,6.8,Adventure,Casual,True
Burger,2024,8.1,Action,Adventure,True
永冻之壳 The Shell of Permafrost,2018,9.8,Casual,Indie,True
Project Harlock Playtest,2022,9.3,N/A,N/A,False
Epigenesis,2014,6.5,Action,Indie,True
Clown House (Palyaço Evi),2015,4.9,Action,Indie,True
WARMACHINE: Tactics,2014,4.4,Indie,Strategy,True
Sigils of Elohim,2014,9.1,Casual,Indie,True
Kebab Simulator: Prologue,2023,6.8,Casual,Indie,True
Stormbound,2018,7.0,Indie,Strategy,True
I Am Jesus Christ: Prologue,2022,7.4,Action,Adventure,True
100 Aliens Cats,2024,9.4,Action,Adventure,True
100 Funny Cats,2024,9.8,Adventure,Casual,True
The Braves,2024,6.8,Action,Casual,True
Check it Out!,2022,8.7,Casual,Indie,True
Ultra Fight Da ! Kyanta 2,2019,9.7,Action,Indie,True
9.03m,2013,8.3,Indie,N/A,True
Second Chance,2018,8.5,Adventure,Casual,True
Delta Force Alpha Test,2024,8.0,N/A,N/A,False
King of Kinks,2022,5.6,RPG,Strategy,True
Trapped with Jester,2022,9.5,Adventure,Casual,True
Mansions of Madness,2016,9.3,Adventure,Strategy,True
ONE PIECE Bounty Rush,2024,6.2,Action,N/A,True
Medusa's Labyrinth,2016,7.7,Action,Adventure,True
Fausts Alptraum,2017,9.4,Adventure,Indie,True
Kinoko,2020,8.4,Adventure,Casual,True
One Thousand Lies,2016,9.0,Casual,Simulation,True
Darza's Dominion,2022,6.4,Action,Adventure,True
Onigiri,2019,7.1,Action,Adventure,True
Warhammer: Chaos And Conquest,2019,5.4,Massively Multiplayer,Simulation,True
Obama,2022,8.9,Adventure,N/A,True
last seen online,2024,9.9,Indie,Simulation,True
RADical ROACH Remastered,2014,5.5,Action,Adventure,True
Resonite,2023,8.3,Casual,Indie,True
Lost girls diary,2016,8.2,N/A,N/A,True
Who's Your Daddy Playtest,2020,9.3,N/A,N/A,False
Growtopia,2024,2.4,Action,Adventure,True
Bad Dream: Fever,2018,8.2,Adventure,Indie,True
Trophy Fishing 2,2017,7.4,Simulation,Sports,True
Talvisota - Winter War,2020,8.8,Action,Massively Multiplayer,True
Starward,2024,6.6,Action,Adventure,True
Starship Theory,2017,5.0,Indie,Simulation,True
Dystopia,2009,8.5,Action,Indie,True
Citywars Tower Defense,2022,8.1,Action,Adventure,True
Cyrano Story,2020,6.7,Adventure,Indie,True
Traitors in Salem,2022,6.1,Casual,Indie,True
DOTOKOI / 像素男友,2019,9.9,Casual,Indie,True
The Defender: Farm and Castle,2019,9.0,Action,Strategy,True
Havoc,2024,6.4,Action,Indie,True
Watermelon Game,2023,9.1,Casual,Indie,True
攻城与召唤 Siege and Summons 5分钟一局 策略竞技,2024,9.6,Adventure,Casual,True
ACE - Arena: Cyber Evolution,2014,6.6,Action,Indie,False
Underworld Idle,2023,7.2,Indie,Strategy,True
Krypta FM,2024,9.5,Adventure,Indie,True
Apotheon Arena,2015,8.2,Action,Indie,True
War Rock,2019,6.0,Action,Casual,True
Hog Hunter 2021,2021,9.5,Action,Indie,True
Fap Queen 2,2019,8.3,Casual,Indie,True
Alien Removal Division,2022,8.8,Action,Indie,True
TRY AGAIN,2023,9.6,Action,Indie,True
Piratopia,2021,8.5,Action,Adventure,True
Summer in Mara Prologue,2020,8.7,Adventure,Casual,True
Children of Silentown: Prologue,2020,9.6,Adventure,Indie,True
The Cat and the Coup,2011,9.4,Indie,N/A,True
Phobies,2022,8.7,Indie,Strategy,True
"Yes, Master!",2020,7.6,Adventure,Indie,True
VALKYRIE CONNECT,2020,7.5,Adventure,RPG,True
daydream 白日夢,2022,9.9,Casual,RPG,True
Company of Heroes 3 Playtest,2023,7.4,N/A,N/A,False
Love Sucks: Night One,2021,9.5,Casual,Indie,True
Ukraine War Stories,2022,8.8,Adventure,Indie,True
LOEK,2020,9.3,Action,Indie,True
Shotgun Witch,2020,9.7,Action,Adventure,True
Lucid9: Inciting Incident,2016,9.0,Casual,Simulation,True
Pyroworks,2023,9.2,Indie,Simulation,True
TeraBlaster,2015,6.9,Action,Casual,True
Global City,2021,7.0,Casual,Massively Multiplayer,True
Incremental Epic Hero 2,2022,7.1,Adventure,Indie,True
坦率的小红帽和爱说谎的狼,2020,9.8,Casual,RPG,True
Men of War II Playtest,2023,7.4,N/A,N/A,False
The Powder Toy,2024,9.9,Simulation,N/A,True
The Elder Scrolls Online - Elsweyr,2019,8.3,Massively Multiplayer,RPG,False
Coloring Game: Little City,2019,9.4,Casual,Indie,True
Empires Mod,2008,8.6,Action,Strategy,True
Gravewood High,2023,5.5,Action,Adventure,True
Phoning Home,2017,6.1,Action,Adventure,True
The Lar,2019,9.5,Adventure,Casual,True
Fake Lay,2020,6.5,Action,Casual,True
POOSTALL Royale,2023,8.6,Action,N/A,True
Babble Royale,2021,8.2,Action,Casual,True
Sisyphus Reborn,2016,9.2,Adventure,N/A,True
KROSMAGA,2017,7.5,Casual,Massively Multiplayer,True
Aeons Echo,2024,7.8,Action,Casual,True
Clatter,2018,8.2,Indie,Strategy,True
M.A.R.S,2021,6.3,Action,Massively Multiplayer,True
Engine Evolution 2022,2023,7.5,Action,Casual,True
Mad Adventures,2022,9.2,Action,Casual,True
Lynne,2018,8.0,Indie,Simulation,True
Pixel Sketch,2017,7.3,Casual,Massively Multiplayer,True
X-Plane 10 Global - 64 Bit,2014,7.1,Simulation,N/A,False
Grimoire: Manastorm,2017,6.8,Action,Indie,True
Mimpi Dreams,2016,9.4,Adventure,Indie,True
Barji Kart,2022,8.3,Action,Casual,True
Friendly Fire,2020,9.5,Adventure,Casual,True
Football Manager 2020 Touch,2019,8.8,Simulation,Sports,False
The Mammoth: A Cave Painting,2017,9.2,Action,Adventure,True
Karos,2014,6.7,Massively Multiplayer,RPG,True
Robin Hood - Sherwood Builders - Bandit's Trail,2023,8.4,Action,Adventure,True
Sex Coach: Hot Yoga - Prologue,2024,7.2,Adventure,RPG,True
IL-2 Sturmovik: Cliffs of Dover,2011,6.0,Simulation,N/A,False
Liquidators,2020,9.6,Adventure,Indie,True
ePic Character Generator,2015,8.3,N/A,N/A,True
重生之我是小虾米,2024,9.6,Adventure,Casual,True
Astrometica: Prologue,2024,9.3,Action,Adventure,True
Circle of Sumo: Online Rumble!,2020,9.2,Casual,Indie,True
Wild Warfare,2014,6.9,Action,Indie,True
Ethyrial: Echoes of Yore,2023,3.5,Adventure,Indie,True
Kreedz Climbing,2017,8.2,Indie,Racing,True
Klaus Veen's Treason,2023,9.0,Action,Casual,True
Rabbit Hole,2024,9.0,Action,Adventure,True
Icons: Legacy Edition,2018,4.2,Action,Indie,True
ChuSingura461 S,2016,8.7,Adventure,N/A,True
Rocksmith,2024,1.3,Casual,N/A,True
Pink Hour,2015,9.3,Action,Indie,True
Life Makeover,2023,8.5,Casual,Simulation,True
Command & Conquer Generals,2024,8.6,Action,Strategy,False
Elsword Free-to-Play,2018,7.6,Action,Adventure,True
Lucid Dream,2020,9.2,Adventure,Indie,True
Evil Inside - Prologue,2021,6.9,Adventure,Indie,True
SuperTux,2022,9.4,Action,Casual,True
Farm Manager 2021: Prologue,2021,7.7,Indie,Simulation,True
Her Lie I Tried To Believe,2018,8.1,Casual,Indie,True
The Orville - Interactive Fan Experience,2019,9.0,Casual,Simulation,True
Scrap Garden - The Day Before,2016,7.5,Action,Adventure,True
A.W.O.L,2022,7.9,Action,Indie,True
Bear With Me - Episode One,2016,8.8,Adventure,Indie,True
Locke(d),2023,9.4,Indie,N/A,True
Sevgilim Olur musun ?,2017,7.0,Adventure,Indie,True
Siege Survival: Gloria Victis Prologue,2020,8.7,Adventure,Casual,True
TaskPals,2023,9.3,Indie,N/A,True
100 Doors Game - Escape from School,2020,7.3,Adventure,Casual,True
AVA: Dog Tag,2019,5.0,Action,N/A,False
RAM Pressure,2021,4.7,Action,Indie,True
School Days,2024,9.9,Casual,Indie,True
One Manga Day,2015,6.1,Adventure,Casual,True
Super Jigsaw Puzzle: Generations,2019,9.5,Casual,Indie,True
Soak & Splash,2024,8.7,Action,Adventure,True
Magic Archery,2024,9.9,Casual,Indie,True
Kingdom Wars 2: Battles,2016,6.3,Indie,Simulation,False
Black Rose,2016,8.0,Adventure,Indie,True
Monstrum 2,2022,5.2,Action,Adventure,True
My Catgirl Maid Thinks She Runs the Place,2021,9.4,Casual,Indie,True
Perspective,2019,9.8,N/A,N/A,True
Deep the Game,2020,7.7,Action,Adventure,True
Valgrave: Immortal Plains,2020,8.3,Action,Indie,True
Beavers Be Dammed,2018,8.7,Casual,Indie,True
Sepia Tears,2016,8.9,Casual,Indie,True
KOEWOTAYORINI / 声之寄托,2018,8.6,Adventure,Indie,True
Zombie Carnage 2,2022,6.4,Action,N/A,True
Sine Mora,2012,7.7,Action,Indie,False
Marvel Rivals Playtest,2024,9.0,N/A,N/A,False
Wild West Online,2018,2.9,Action,Indie,False
270 Two Seventy US Election,2018,7.5,Strategy,N/A,True
Driver Booster 5 for Steam,2017,8.0,N/A,N/A,True
The Ship: Single Player,2006,7.1,Action,Indie,False
Dodge It!,2021,9.0,Action,Simulation,True
Super Raft Boat Classic,2021,9.4,Action,Indie,True
Golgotha,2023,8.1,Simulation,N/A,True
Aurora: A Child's Journey,2020,9.4,Action,Adventure,True
Object N,2021,8.6,Action,N/A,True
The Elder Scrolls Online - Greymoor,2020,5.7,Action,Massively Multiplayer,False
Femdom Waifu,2019,6.8,Indie,N/A,True
Tap Tap Infinity,2015,7.4,Action,Casual,True
Tailor Tales,2019,9.5,Casual,Simulation,True
Flicker of Hope,2020,9.3,Indie,N/A,True
War Trigger 2,2017,5.5,Action,Adventure,True
Kawaii Neko Girls,2021,8.1,Adventure,Casual,True
Project RTD: Random Tower Defense PvP,2020,4.9,Simulation,Strategy,True
"Run Prop, Run! - Puropu Pursuit",2021,7.8,Casual,N/A,True
B100X - Auto Dungeon RPG,2021,8.1,Casual,RPG,True
Street Fighter 6 - Open Beta,2023,9.2,Action,Adventure,True
Crime Simulator: Prologue,2024,7.1,Action,Indie,True
Atlantica Global,2020,6.4,Action,Adventure,True
Ship Graveyard Simulator: Prologue,2021,8.6,Action,Adventure,True
Pixel Puzzles: UndeadZ,2014,7.3,Action,Casual,True
Zeus' Battlegrounds,2018,5.7,N/A,N/A,False
World War 3 Playtest,2022,5.3,N/A,N/A,False
BloodRayne Betrayal (Legacy),2014,6.0,Action,N/A,False
Incremental Cubes,2021,6.9,RPG,Simulation,True
Rage of Car Force: Car Crashing Games,2020,7.5,Action,Casual,True
Catto Pew Pew!,2022,9.0,Action,Casual,True
HYPERFIGHT,2019,8.9,Action,Casual,True
Space Hulk: Ascension,2014,7.2,RPG,Strategy,False
Trans-Siberian Railway Simulator: Prologue,2024,9.1,Action,Adventure,True
MachineCraft,2016,7.7,Indie,Simulation,True
PWND,2018,7.1,Action,Casual,True
LIV,2019,8.7,N/A,N/A,True
Idle Clans,2023,7.1,Casual,Indie,True
Mojo 2: Mia,2018,8.0,Casual,Indie,True
MOBILE SUIT GUNDAM BATTLE OPERATION 2 Network Test,2023,6.1,N/A,N/A,False
It gets so lonely here,2023,9.6,Indie,N/A,True
War Planet Online: Global Conquest,2017,6.4,Massively Multiplayer,Strategy,True
Ancestors Legacy Free Peasant Edition,2018,7.9,Strategy,N/A,True
SkyIsland,2023,9.3,Action,Adventure,True
BlasterBeat,2023,8.1,Action,Indie,True
SC2VN - The eSports Visual Novel,2015,9.3,Adventure,Casual,True
Battle Islands: Commanders,2017,4.8,Action,Strategy,True
东方试闻广纪 Perfect Memento of Touhou Question,2018,9.5,Casual,Indie,True
Max Gentlemen,2014,8.7,Casual,Indie,True
SpedV,2018,7.8,Simulation,N/A,True
Egg Surprise,2024,7.1,Casual,Simulation,True
Wolvesville,2023,8.3,Casual,Indie,True
Requiem: Desiderium Mortis,2015,6.8,Action,Adventure,True
Dropzone,2017,7.0,Action,Strategy,True
cyberpunkdreams,2021,7.6,Indie,RPG,True
Booty Farm 18,2022,6.7,Casual,Simulation,True
Mechabellum Test Server,2022,9.6,N/A,N/A,False
Train Station Renovation - First Job,2020,8.6,Casual,Indie,True
Are you ready for Valve Index?,2019,9.0,N/A,N/A,False
Eternal Hour: Golden Hour,2017,9.0,Adventure,Casual,True
The Cenozoic Era,2023,5.9,Action,Adventure,True
Frame of Mind,2021,9.5,Indie,N/A,True
Touhou Mystery Reel,2022,9.5,Action,Adventure,True
Echoes,2015,9.2,Action,Indie,True
Mini-Dead,2018,9.4,Action,Indie,True
Pirates,2021,7.8,Action,Adventure,True
The Mirror Lied,2018,8.8,Adventure,Indie,True
Tag: The Power of Paint,2022,9.6,Action,N/A,True
Capcom Arcade 2nd Stadium,2022,6.7,Action,N/A,True
Galcon 2: Galactic Conquest,2014,8.4,Indie,Strategy,True
東周列萌志 Philosophic Love,2018,9.0,Casual,Indie,True
RUNGORE: Beginner Experience,2022,9.2,Adventure,Indie,True
Psycholonials,2021,8.8,Adventure,Casual,True
natsuno-kanata - beyond the summer,2022,9.5,Adventure,Indie,True
stein.world,2019,6.7,Action,Adventure,True
Dragon's Prophet,2013,6.3,Action,Massively Multiplayer,True
雀皇麻雀,2022,7.1,Casual,Strategy,True
Pixel Art Coloring Book,2021,8.4,Casual,N/A,True
Midair,2018,5.6,Action,Indie,True
Storm Striker,2023,6.8,Action,N/A,True
A Game About,2018,9.0,Indie,N/A,True
群侠传启动,2022,9.5,Indie,RPG,True
Introvert: A Teenager Simulator,2021,7.2,Action,Adventure,True
NVIDIA VR Funhouse,2016,7.9,Casual,N/A,True
Half-Earth Socialism,2022,8.3,Indie,Simulation,True
Tadpole Tales,2021,9.0,Action,Adventure,True
Rome: Total War - Alexander,2007,7.9,Strategy,N/A,False
Chip's Challenge 1,2015,9.0,Action,Adventure,True
Siren Head: Awakening,2020,7.4,Action,Adventure,True
Hell Architect: Prologue,2021,8.2,Indie,Simulation,True
Bacon May Die,2021,9.5,Action,Casual,True
Banyu Lintar Angin - Little Storm,2018,9.6,Casual,Indie,True
Arcadius,2022,7.1,Adventure,Casual,True
Oh...Sir! Prototype,2015,6.4,Indie,N/A,True
Grand Fantasia : ORIGIN,2024,5.2,Action,Adventure,True
Dawn,2017,9.1,Adventure,Casual,True
Heavy Metal Babes,2020,6.8,Casual,RPG,True
Don't Be Afraid - The First Toy,2020,9.1,Adventure,N/A,True
Microtransaction Simulator,2017,8.6,Simulation,N/A,True
DeoVR Video Player,2018,6.1,N/A,N/A,True
Owinka Shooter,2022,9.6,Action,Adventure,True
Driver Booster 4 for Steam,2016,7.6,N/A,N/A,True
The Sad Story of Emmeline Burns,2016,9.1,Adventure,Casual,True
Clover Tale,2016,7.5,Adventure,Casual,True
Pox Nora,2014,7.6,RPG,Strategy,True
Prosperous Universe,2022,7.5,Indie,Massively Multiplayer,True
Truck World: Driving School,2023,7.0,Action,Racing,True
Through time the girl puzzle,2023,9.4,Casual,Indie,True
Fray Fight,2022,7.5,Action,Casual,True
The Kite,2018,8.2,Adventure,Indie,True
A.V.A Playtest,2021,9.0,N/A,N/A,False
Open Mod 2024.2,2023,6.4,Action,Adventure,True
Aero Tales Online: The World - Anime MMORPG,2022,7.0,Massively Multiplayer,RPG,True
Joe 'n Jo,2024,5.8,Adventure,Casual,True
Gum Ball Run,2024,8.5,Action,Racing,True
AChat,2020,6.0,Casual,Massively Multiplayer,True
Chess for idiots,2024,9.2,Casual,Indie,True
Asgard's Fall: Origins,2024,8.6,Action,Adventure,True
LuckCatchers,2016,5.5,Indie,Massively Multiplayer,True
Iron League,2018,7.2,Action,Indie,False
Red Planet Farming,2020,9.6,Indie,Strategy,True
Frontline 1942: Battles of the World War 2,2023,5.0,Action,Massively Multiplayer,True
My succubus Kukula,2024,9.8,Casual,Indie,True
Kings and Heroes,2017,5.4,RPG,N/A,False
Fights in Tight Spaces (Prologue),2020,9.4,Action,Strategy,True
SIMULACRA: Pipe Dreams,2018,8.4,Adventure,Indie,True
No More Money - Season 1,2022,7.9,Indie,N/A,True
Gatewalkers (Alpha),2020,8.4,Action,Adventure,True
Shrine II,2020,9.2,Action,Indie,True
Ukrainian Ninja,2014,7.7,Action,Casual,True
Shepherd of Light,2019,9.5,N/A,N/A,True
One Dreamer: Prologue,2020,9.6,Indie,N/A,True
Battle for Blood - Epic battles within 30 seconds!,2015,7.4,Casual,Indie,True
Anomaly Zone,2019,5.1,Action,Indie,True
Stray Cats in Cozy Town,2024,9.8,Casual,Indie,True
Xanadu Land,2024,8.9,Indie,Massively Multiplayer,True
Idle Monster TD,2021,7.2,Casual,Indie,True
VR Flush,2018,9.5,Adventure,Indie,True
Doodle God Blitz,2017,6.8,Casual,Indie,True
SCP022,2019,7.4,Indie,N/A,True
Clockwork Empires,2016,5.8,Indie,Simulation,False
Republique,2015,7.7,Action,Adventure,True
Home Wind,2022,9.0,Casual,Simulation,True
Jigsaw Puzzle Dreams,2021,9.4,Casual,Indie,True
The Lord of the Rings: Journeys in Middle-earth,2019,9.1,Adventure,RPG,True
Dinner with an Owl,2021,9.5,Adventure,Indie,True
100 Robo Cats,2024,9.0,Adventure,Casual,True
The Night Fisherman,2020,8.3,Adventure,Casual,True
Koishi Navigation Desktop Youkai,2022,9.6,Casual,N/A,True
Figure Adventure,2024,8.7,Action,Adventure,True
1982,2017,9.4,Action,Casual,True
Accident: The Pilot,2020,6.9,Indie,Simulation,True
Cards & Tankards,2023,8.9,Casual,Indie,True
Shatterline Playtest,2022,9.4,N/A,N/A,False
全民街篮,2024,7.2,Action,Casual,True
Elisa: The Innkeeper - Prequel,2016,7.8,Adventure,Casual,True
Mojo: Hanako,2018,8.0,Casual,Indie,True
Perpetuum,2014,7.2,Indie,Massively Multiplayer,True
War Robots VR: The Skirmish,2017,8.0,Action,Simulation,True
Intoxicated Driver,2024,8.4,Action,Indie,True
Adventure Escape Mysteries,2020,8.7,Adventure,Casual,True
Flesh Water,2021,8.2,Action,Adventure,True
Lemonade Apocalypse,2024,9.5,Casual,Indie,True
Brawl of Ages,2017,6.8,Action,Strategy,False
Close Your Eyes Old Version,2015,8.7,Adventure,Indie,True
Cards and Castles,2015,7.3,Indie,Massively Multiplayer,True
Shadow Burglar,2022,9.7,Action,N/A,True
Kemono Friends Cellien May Cry,2022,9.7,Action,N/A,True
Taimanin Collection: Battle Arena,2020,7.0,Casual,N/A,True
The Designer's Curse,2019,8.9,Indie,N/A,True
Red Eclipse,2019,8.7,Action,Indie,True
Blocksworld,2017,6.5,Casual,Indie,False
Ascend: Reborn,2022,7.9,Action,Indie,True
The Riflemen,2023,6.6,Action,Casual,True
X Invader: Prologue,2023,8.7,Action,Indie,True
American Theft 80s: Prologue,2022,8.2,Action,Adventure,True
Vedelem: The Golden Horde,2021,9.0,Indie,Strategy,True
Priest Simulator: Heavy Duty,2021,9.7,Action,Indie,True
Not For Broadcast: Prologue,2019,9.3,Indie,Simulation,True
Roller Champions,2022,6.8,Sports,N/A,True
Hellpoint: The Thespian Feast,2020,7.0,Action,Adventure,True
Alpha League,2024,8.1,Casual,Indie,True
Cave Story's Secret Santa,2021,8.3,Adventure,N/A,True
Mecha BREAK Playtest,2024,8.3,N/A,N/A,False
STEINSGATE: Linear Bounded Phenogram,2019,9.7,Adventure,N/A,False
Epic Cards Battle(TCG),2015,5.0,Casual,Strategy,True
Wild West Saga: Idle Tycoon Clicker,2018,6.8,Casual,Indie,True
Infinite Lagrange,2021,5.5,Massively Multiplayer,Simulation,True
Death Skid Marks,2014,9.2,Action,Indie,True
Wardwell House,2020,8.2,Adventure,Simulation,True
Crown and Council,2016,6.4,Casual,Indie,True
Gods and Idols,2016,7.0,Indie,RPG,True
Tale of Toast,2018,5.1,Adventure,Indie,True
Engine Evolution 2021,2022,7.4,Action,Casual,True
Scream Collector,2017,8.8,Casual,N/A,True
Allods Online,2016,6.9,Massively Multiplayer,RPG,True
4 Elements,2010,8.7,Adventure,Casual,False
Boid,2016,7.9,Action,Casual,True
东方幻灵录 Touhou Hakanai Cards,2020,8.6,Casual,Indie,True
Milo and the Christmas Gift,2023,9.3,N/A,N/A,True
Let It Flow,2021,8.2,Action,Adventure,True
DogeFight,2022,7.9,Action,Casual,True
Spartans Vs Zombies Defense,2015,4.6,Action,Casual,True
Pink Heaven,2015,9.0,Action,Indie,True
Dysterra Playtest,2022,7.7,N/A,N/A,False
Incremental Adventures,2020,7.8,Casual,Indie,True
Outpost,2020,8.8,Adventure,Casual,True
Exo One: Prologue,2020,9.4,Adventure,Casual,True
Operation: New Earth,2016,6.0,Massively Multiplayer,Simulation,True
Deepworld,2015,6.0,Action,Adventure,True
League of Angels-Heaven's Fury,2020,5.9,Action,Massively Multiplayer,True
Crafting Idle Clicker,2020,4.8,Casual,Indie,True
Ship Graveyard Simulator 2: Prologue,2023,8.6,Action,Adventure,True
Reign of Guilds,2024,6.6,Action,Adventure,True
TEST TEST TEST,2024,9.2,Adventure,Indie,True
Almost Home Now,2022,8.4,Adventure,Indie,True
SCP: Ground Zero,2022,7.1,Action,Indie,True
Hello Neighbor 2 Alpha 1,2020,8.6,Adventure,Indie,True
Pirate Fighting Simulator,2023,8.9,Action,Simulation,True
Sexy Airlines,2021,4.5,Casual,N/A,True
Yu Crossing Animals,2021,9.2,Adventure,N/A,True
Banzai Escape 2: Subterranean,2021,8.1,Action,N/A,True
Party Jousting,2016,9.2,Casual,Indie,True
100 Space Cats,2024,6.7,Action,Adventure,True
Sounds of Her Love,2017,9.1,Adventure,Casual,True
Rhome,2020,8.9,Adventure,Casual,True
Half-Life: A Place in the West,2016,8.8,Indie,N/A,True
MergeCrafter,2022,7.3,Adventure,Casual,True
BoardLand,2024,9.8,Indie,Strategy,True
PHANTOM GALAXIES,2023,3.9,Action,Adventure,True
Motherless - Season 1,2022,8.0,Casual,Indie,True
Project QT,2024,6.5,Casual,N/A,True
The Feast,2022,7.0,Adventure,Casual,False
DPS IDLE,2021,6.3,Casual,Indie,True
Underminer,2024,9.3,Action,Adventure,True
A Park Full of Cats,2024,9.7,Casual,Indie,True
NSFW Solitaire,2023,9.5,Casual,N/A,True
DPET : Desktop Pet Engine,2022,7.6,Casual,N/A,True
旅燕归航 Swallow Homing,2019,9.8,Indie,N/A,True
Monsters Domain: Prologue,2023,7.7,Action,Adventure,True
Evening Surprise,2017,9.0,Indie,N/A,True
Florensia,2016,6.8,Action,Adventure,True
The Political Machine 2016,2016,7.6,Casual,Indie,False
BACKROOMS NO RETURN: Prologue,2024,2.5,Action,Adventure,True
Chess Evolved Online,2021,9.2,Strategy,N/A,True
The Killing Antidote Playtest,2023,9.3,N/A,N/A,False
Death Rally (Classic),2014,9.1,Racing,N/A,True
Soccer Manager 2019,2018,7.6,Sports,N/A,False
Dogs of War Online,2014,6.4,Strategy,N/A,True
Electronic Super Joy 2,2019,8.7,Indie,N/A,True
Grey Instinct,2021,9.6,Adventure,Casual,True
Wizard And Minion Idle,2019,9.1,RPG,Strategy,True
Black Gunner Wukong: Prologue,2023,9.8,Action,Indie,True
Martial Arts Brutality,2018,8.4,Indie,Strategy,True
Football Manager 2021 Touch,2020,9.0,Simulation,Sports,False
Self Reliance 自我性赖,2019,8.8,Adventure,N/A,True
Pocket Waifu,2018,6.0,Casual,Indie,True
Momotype,2021,9.7,Indie,N/A,True
YIIK Nameless Psychosis,2024,9.3,Indie,RPG,True
Plasma,2023,9.0,Indie,Simulation,True
Poker Legends: Texas Hold'em Poker Tournaments,2018,7.7,Casual,Indie,True
DED,2017,8.2,Action,Indie,True
Lilith Wants to Buy Your Soul,2023,9.8,Indie,N/A,True
CASE: Online,2024,6.4,Action,Indie,True
Trimmer Tycoon,2016,6.8,Casual,Indie,True
Romance Club - Stories I Play,2023,7.9,Adventure,Casual,True
Kraven Manor,2014,5.8,Action,Adventure,True
Sam & Dan: Floaty Flatmates,2018,9.3,Action,Adventure,True
火焰征程,2023,6.7,Massively Multiplayer,RPG,True
Epic Clicker Journey,2016,6.8,Adventure,Casual,True
Amarillo's Butt Slapper,2024,8.5,Casual,Simulation,True
Slow and Steady,2021,8.9,Casual,Indie,True
Sim Companies,2023,8.0,Massively Multiplayer,Simulation,True
Tribal Wars,2020,7.3,Action,Massively Multiplayer,True
U-ena -Far fireworks,2022,9.4,Adventure,Casual,True
Fork Parker's Holiday Profit Hike,2014,8.3,Action,Adventure,True
Mini Settlers: Prologue,2024,8.9,Simulation,Strategy,True
Scarlet Hollow Episode 1,2020,9.7,Adventure,Casual,True
Armajet,2019,8.6,Action,N/A,True
XXZ,2017,7.3,Casual,Indie,True
GUN GODZ,2019,8.7,Action,Indie,True
After the Inferno,2022,9.1,Adventure,N/A,True
Vacuum Warrior - Idle Game,2023,8.3,Casual,Indie,True
Lost Saga NA,2014,6.0,Action,Casual,False
Riding Club Championships,2016,7.4,Action,Racing,True
Miniland Adventure: Prologue,2023,8.8,Action,Adventure,True
TurnSignal,2017,9.1,N/A,N/A,True
Answer Knot,2019,9.0,Indie,N/A,True
Mirror News Center,2022,5.9,N/A,N/A,True
Predecessor Playtest,2022,9.2,N/A,N/A,False
PlayStationVR2 App,2024,5.7,N/A,N/A,True
Dinosaur Fossil Hunter: Prologue,2020,8.1,Action,Adventure,True
Castle Clicker : Idle City Tycoon,2017,6.8,Casual,Indie,True
Soccer Manager 2016,2015,6.9,Indie,Sports,False
Operation Lovecraft: Fallen Doll Playtest,2021,6.8,N/A,N/A,False
Heroes of Scene,2015,4.9,Indie,Massively Multiplayer,True
My GF Doesn't Know What I'm Into,2023,8.2,Indie,N/A,True
My Free Farm 2,2018,5.9,Casual,Simulation,True
